#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 21 20:40:46 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       NES_Nexys4_map.ncd
#OUTPUT FILE:      NES_Nexys4_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P29,,IOBS,IO_L36N_3,UNUSED,,3,,,,,,,,,
P30,PROP_Rx,IOB,IO_L36P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,PROP_Tx,IOB,IO_L2N_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P33,RamCRE,IOB,IO_L2P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P34,PROP_File_Tx,IOB,IO_L1N_VREF_3,INPUT,LVCMOS33,3,,,,NONE,,LOCATED,NO,NONE,
P35,AUDIO_L,IOB,IO_L1P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,PROP_File_Rx,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P41,AUDIO_R,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,SW<7>,IOB,IO_L62N_D6_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P44,SW<3>,IOB,IO_L62P_D5_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P45,SW<2>,IOB,IO_L49N_D4_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P46,SW<6>,IOB,IO_L49P_D3_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P47,SW<1>,IOB,IO_L48N_RDWR_B_VREF_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P48,SW<5>,IOB,IO_L48P_D7_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,SW<0>,IOB,IO_L31N_GCLK30_D15_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P51,SW<4>,IOB,IO_L31P_GCLK31_D14_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,CLK100MHZ,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P56,MemWait,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,MemClk,IOB,IO_L13N_D10_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,MemAdv,IOB,IO_L12P_D1_MISO2_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,btn_menu,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P67,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,UART_RXD,IOB,IO_L74N_DOUT_BUSY_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P75,UART_TXD,IOB,IO_L74P_AWAKE_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,LED<0>,IOB,IO_L47P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P80,LED<1>,IOB,IO_L46N_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P81,LED<2>,IOB,IO_L46P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P82,LED<3>,IOB,IO_L45N_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,LED<4>,IOB,IO_L45P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P84,LED<5>,IOB,IO_L43N_GCLK4_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P85,LED<6>,IOB,IO_L43P_GCLK5_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,LED<7>,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P88,CPU_RESET,IOB,IO_L42P_GCLK7_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,btnreset_nes,IOB,IO_L41N_GCLK8_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P93,joypad<7>,IOB,IO_L41P_GCLK9_IRDY1_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P94,joypad<3>,IOB,IO_L40N_GCLK10_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P95,joypad<6>,IOB,IO_L40P_GCLK11_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,joypad<2>,IOB,IO_L34N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P98,joypad<5>,IOB,IO_L34P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P99,joypad<1>,IOB,IO_L33N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P100,joypad<4>,IOB,IO_L33P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P101,joypad<0>,IOB,IO_L32N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P102,vga_r<1>,IOB,IO_L32P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,vga_b<1>,IOB,IO_L1N_VREF_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P105,vga_r<0>,IOB,IO_L1P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,vga_b<0>,IOB,IO_L66N_SCP0_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P112,vga_g<1>,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,vga_h,IOB,IO_L65N_SCP2_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P115,vga_g<0>,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P116,vga_v,IOB,IO_L64N_SCP4_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P117,MemAdr<4>,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P118,MemAdr<3>,IOB,IO_L63N_SCP6_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P119,MemAdr<2>,IOB,IO_L63P_SCP7_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P120,MemAdr<1>,IOB,IO_L62N_VREF_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P121,MemAdr<0>,IOB,IO_L62P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,RamCS,IOB,IO_L37N_GCLK12_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,MemDB<0>,IOB,IO_L37P_GCLK13_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,MemDB<1>,IOB,IO_L36N_GCLK14_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P127,MemDB<2>,IOB,IO_L36P_GCLK15_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,MemDB<3>,IOB,IO_L35N_GCLK16_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P132,MemAdr<5>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P133,MemAdr<6>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,MemAdr<7>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,MemOE,IOB,IO_L4N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P138,RamUB,IOB,IO_L4P_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P139,RamLB,IOB,IO_L3N_0,OUTPUT,LVCMOS33,0,12,SLOW,,,,LOCATED,NO,NONE,
P140,MemDB<15>,IOB,IO_L3P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P141,MemDB<14>,IOB,IO_L2N_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P142,MemDB<13>,IOB,IO_L2P_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P143,MemDB<12>,IOB,IO_L1N_VREF_0,BIDIR,LVCMOS33,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
